xbrl_name,formatted_name
InterestInvestmentIncomeFeesAndCommissionsReceived,"Penerimaan bunga, hasil investasi, provisi, dan komisi"
PaymentsOfInterestAndBonusFeesAndCommissions,"Pembayaran bunga dan bonus, provisi dan komisi"
InterestFromBanksAndTimeDeposits,Bunga bank dan deposito berjangka
RevenueReceiptsFromFundManagementAsMudharib,Penerimaan pendapatan pengelolaan dana sebagai mudharib
PaymentsOfTemporarySyirkahFunds,Pembayaran bagi hasil dana syirkah temporer
ReceiptsFromInsurancePremiums,Penerimaan premi asuransi
ReceiptsFromReinsuranceClaims,Penerimaan klaim reasuransi
ReceiptsPaymentsOfCommission,Penerimaan (pembayaran) komisi
ReceiptsFromRetrocessionClaims,Penerimaan klaim retrosesi
ReceipsOfUjrah,Penerimaan dari ujrah
ReceiptsFromPaymentsToClearingAndGuaranteeInstitution,Penerimaan dari (pembayaran kepada) lembaga kliring dan penjaminan
ReceiptsFromPaymentsToCustomers,Penerimaan dari (pembayaran kepada) nasabah
WithdrawalPlacementOfDepositsToClearingAndGuaranteeInstitution,Pencairan (penempatan) deposito pada lembaga kliring dan penjaminan
IncomeFromOtherOperatingTransactions,Pendapatan dari transaksi operasional lainnya
RecoveriesOfWrittenOffAssets,Penerimaan kembali aset yang telah dihapusbukukan
PaymentsForDeferredAcquisitionCosts,Pembayaran biaya akuisisi ditangguhkan
PaymentsOfFinanceCostsAndBankAdministrationCharges,Pembayaran atas beban keuangan dan beban administrasi bank
PaymentsForSalariesAndAllowances,Pembayaran gaji dan tunjangan
PaymentsForCorporateIncomeTax,Pembayaran pajak penghasilan badan
PaymentsForGeneralAndAdministrativeExpense,Pembayaran beban umum dan administrasi
ForeignCurrencyGainsLosses,Laba (rugi) selisih kurs
RefundsPaymentsOfIncomeTax,Penerimaan pengembalian (pembayaran) pajak penghasilan
PaymentsForOtherOperatingExpenses,Pembayaran beban operasional lainnya
ReceiptsFromNonOperatingIncome,Penerimaan pendapatan non-operasional
RepaymentPlacementOfRefundableDeposits,Pengembalian (penempatan) uang jaminan
OtherCashInflowsOutflowsFromOperatingActivities,Penerimaan (pengeluaran) kas lainnya dari aktivitas operasi
DecreaseIncreaseInPlacementsWithOtherBanksAndBankIndonesia,Penurunan (kenaikan) penempatan pada bank lain dan Bank Indonesia
DecreaseIncreaseInMarketableSecurities,Penurunan (kenaikan) efek yang diperdagangkan
DecreaseIncreaseInSecuritiesPurchasedUnderResaleAgreements,Penurunan (kenaikan) efek yang dibeli dengan janji dijual kembali
DecreaseIncreaseInInvestmentOfPolicyholderInUnitLinkedContracts,Penurunan (kenaikan) investasi pemegang polis pada kontrak unit-linked
DecreaseIncreaseInBillsAndOtherReceivables,Penurunan (kenaikan) wesel ekspor dan tagihan lainnya
DecreaseIncreaseInAcceptanceReceivables,Penurunan (kenaikan) tagihan akseptasi
DecreaseIncreaseInLoans,Penurunan (kenaikan) pinjaman yang diberikan
DecreaseIncreaseInConsumerFinancingReceivables,Penurunan (kenaikan) piutang pembiayaan konsumen
DecreaseIncreaseInLeaseInvestments,Penurunan (kenaikan) investasi sewa
DecreaseIncreaseInFactoring,Penurunan (kenaikan) tagihan anjak piutang
DecreaseIncreaseInMurabahahReceivables,Penurunan (kenaikan) piutang murabahah
DecreaseIncreaseInIstishnaReceivables,Penurunan (kenaikan) piutang istishna
DecreaseIncreaseInIjarahReceivables,Penurunan (kenaikan) piutang ijarah
DecreaseIncreaseInQardhFunds,Penurunan (kenaikan) pinjaman qardh
DecreaseIncreaseInMudharabahFinancing,Penurunan (kenaikan) pembiayaan mudharabah
DecreaseIncreaseInMusyarakahFinancing,Penurunan (kenaikan) pembiayaan musyarakah
DecreaseIncreaseInIjarahAssets,Penurunan (kenaikan) aset ijarah
DecreaseIncreaseInOtherReceivables,Penurunan (kenaikan) piutang lainnya
DecreaseIncreaseInForeclosedAssets,Penurunan (kenaikan) agunan yang diambil alih
DecreaseIncreaseInDerivativeReceivables,Penurunan (kenaikan) tagihan derivatif
DecreaseIncreaseInReinsuranceAssets,Penurunan (kenaikan) aset reasuransi
DecreaseIncreaseInOtherAssets,Penurunan (kenaikan) aset lainnya
IncreaseDecreaseInObligationsDueImmediately,Kenaikan (penurunan) liabilitas segera
IncreaseDecreaseInCustomersCurrentAccountsAndSavings,Kenaikan (penurunan) giro dan tabungan simpanan nasabah
IncreaseDecreaseInCustomersTimeDeposits,Kenaikan (penurunan) deposito berjangka nasabah
IncreaseDecreaseInCustomersWadiahDemandDeposits,Kenaikan (penurunan) giro wadiah simpanan nasabah
IncreaseDecreaseInCustomersWadiahSavingDeposits,Kenaikan (penurunan) tabungan wadiah simpanan nasabah
IncreaseDecreaseInCustomersWakalahDeposits,Kenaikan (penurunan) deposito wakalah simpanan nasabah
IncreaseDecreaseInOtherBanksSavingDeposits,Kenaikan (penurunan) simpanan dari bank lain
