xbrl_name,formatted_name
BasisOfPreparationOfConsolidatedFinancialStatementsTextBlock,Dasar penyusunan laporan keuangan konsolidasian
PrinciplesOfConsolidationTextBlock,Prinsip-prinsip konsolidasi
CashAndCashEquivalentsTextBlock,Kas dan setara kas
TradeAndOtherReceivablesTextBlock,Piutang usaha dan piutang lain-lain
InventoriesTextBlock,Persediaan
BearerPlantsTextBlock,Tanaman produktif
FixedAssetsTextBlock,Aset tetap
UndevelopedLandTextBlock,Tanah belum dikembangkan
BiologicalAssetsTextBlock,Aset biologis
PlasmaPlantationsTextBlock,Perkebunan plasma
ImpairmentOfNon-FinancialAssetsTextBlock,Penurunan nilai aset nonkeuangan
DeferredChargesTextBlock,Beban tangguhan
TradePayablesAndOtherLiabilitiesTextBlock,Utang usaha dan liabilitas lain-lain
RevenueAndExpenseRecognitionTextBlock,Pengakuan pendapatan dan beban
ForeignCurrencyTranslationTextBlock,Penjabaran mata uang asing
TransactionsWithRelatedPartiesTextBlock,Transaksi dengan pihak berelasi
IncomeTaxesTextBlock,Pajak penghasilan
BorrowingsTextBlock,Pinjaman
ProvisionsTextBlock,Provisi
EmployeeBenefitsTextBlock,Imbalan kerja karyawan
EarningsPerShareTextBlock,Laba per saham
DividendsTextBlock,Dividen
SegmentReportingTextBlock,Pelaporan segmen
DerivativeFinancialInstrumentsTextBlock,Instrumen keuangan derivatif
TheImplementationOfNewStatementsOfAccountingStandardsTextBlock,Penerapan standar akutansi baru
BusinessCombinationTextBlock,Kombinasi bisnis
DeterminationOfFairValueTextBlock,Penentuan nilai wajar
ForeignCurrencyTransactionsAndBalancesTextBlock,Transaksi dan saldo dalam mata uang asing
CurrentAccountsWithBankIndonesiaAndOtherBanksTextBlock,Giro pada Bank Indonesia dan bank lain
PlacementsWithBankIndonesiaAndOtherBanksTextBlock,Penempatan pada Bank Indonesia dan bank lain
SecuritiesTextBlock,Efek-efek
ShorttermInvestmentTextBlock,Investasi jangka pendek
RightOfUseAssetsTextBlock,Aset hak guna
InvestmentPropertiesTextBlock,Properti investasi
GoodwillTextBlock,Goodwill
InvestmentInAssociatesTextBlock,Investasi pada entitas asosiasi
IntangibleAssetsTextBlock,Aset takberwujud
PrepaidExpensesTextBlock,Beban dibayar dimuka
InsuranceReceivablesAndPayablesTextBlock,Piutang dan utang asuransi
ConsumerFinancingReceivablesTextBlock,Piutang pembiayaan konsumen
OilAndGasPropertiesTextBlock,Aset minyak dan gas bumi
ExplorationAndEvaluationAssetsTextBlock,Aset eksplorasi dan evaluasi
ConcessionFinancialAssetsTextBlock,Aset konsesi
ContractLiabilitiesTextBlock,Liabilitas atas kontrak
DepositsFromCustomersAndDepositsFromOtherBanksTextBlock,Simpanan nasabah dan simpanan dari bank lain
SubordinatedBondsTextBlock,Obligasi subordinasi
SecuritiesPurchasedUnderResellAgreementsTextBlock,Efek-efek yang dibeli dengan janji dibeli kembali
AssetAbandomentAndSiteRestorationTextBlock,Liabilitas pembongkaran aset restorasi area
TreasuryStockTextBlock,Saham treasuri
ShareCapitalTextBlock,Modal saham
SharebasedPaymentArrangementTextBlock,Pengaturan pembayaran berbasis saham
StockIssuanceCostTextBlock,Biaya emisi efek ekuitas
FinancialInstrumentsTextBlock,Instrumen keuangan
NoncurrentAssetsClassifiedAsHeldForSaleTextBlock,Aset tidak lancar yang diklasifikasikan sebagai dimiliki untuk dijual
EventsAfterReportingPeriodTextBlock,Peristiwa setelah tanggal periode pelaporan
AdoptionOfNewAccountingStandardsTextBlock,Penerapan standar akuntansi baru
AccountingStandardsIssuedButNotYetEffectiveTextBlock,Standar akuntansi yang telah disahkan namun belum berlaku efektif
ConsumerFinancingLiabilitiesTextBlock,Utang pembiayaan konsumen
