xbrl_name,formatted_name
SalesAndRevenue,Penjualan dan pendapatan usaha
ProgramAndBroadcastingExpenses,Beban program dan siaran
ExplorationExpenses,Beban eksplorasi
TollCollectionExpenses,Beban pengumpulan tol
TollRoadServiceExpenses,Beban pelayanan pemakai jalan tol
TollRoadMaintenanceExpenses,Beban pemeliharaan jalan tol
JointOperationsExpenses,Beban kerjasama operasi
ConstructionExpenses,Beban konstruksi
FlightOperationsExpenses,Beban operasional penerbangan
TicketingSalesAndPromotionExpenses,"Beban tiket, penjualan, dan promosi"
PassengerServicesExpenses,Beban pelayanan penumpang
UserChargesAndStationExpenses,Beban pemakaian bandara
MaintenanceAndOverhaulExpenses,Beban pemeliharaan dan perbaikan
TransportationOperationExpenses,Beban operasional transportasi
NetworkOperationExpenses,Beban operasional jaringan
HotelOperationExpenses,Beban operasional hotel
IncreaseDecreaseInInventoriesOfFinishedGoodsAndWorkInProgress,Kenaikan (penurunan) persediaan barang jadi dan pekerjaan dalam proses
RawMaterialsAndConsumablesUsed,Bahan baku dan barang habis pakai
EmployeeBenefitsExpenses,Beban manfaat karyawan
DepreciationAndAmortisationExpenses,Beban penyusutan dan amortisasi
AdditionReversalOfImpairmentLossRecognisedInProfitOrLoss,Pembentukan (pembalikan) kerugian penurunan nilai yang diakui dalam laba rugi
CostOfSalesAndRevenue,Beban pokok penjualan dan pendapatan
GrossProfit,Jumlah laba bruto
SellingExpenses,Beban penjualan
GeneralAndAdministrativeExpenses,Beban umum dan administrasi
DividendsIncome,Pendapatan dividen
InterestIncome,Pendapatan bunga
InvestmentIncome,Pendapatan investasi
FinanceIncome,Pendapatan keuangan
InterestAndFinanceCosts,Beban bunga dan keuangan
GainsLossesOnChangesInForeignExchangeRates,Keuntungan (kerugian) selisih kurs mata uang asing
ShareOfProfitLossOfAssociatesAccountedForUsingEquityMethod,Bagian atas laba (rugi) entitas asosiasi yang dicatat dengan menggunakan metode ekuitas
ShareOfProfitLossOfJointVenturesAccountedForUsingEquityMethod,Bagian atas laba (rugi) entitas ventura bersama yang dicatat menggunakan metode ekuitas
GainsLossesOnChangesInFairValueOfMarketableSecurities,Keuntungan (kerugian) perubahan nilai wajar efek
RealisedGainsLossesOnTradingOfMarketableSecurities,Keuntungan (kerugian) dari transaksi perdagangan efek yang telah direalisasi
GainsLossesOnDerivativeFinancialInstruments,Keuntungan (kerugian) atas instrumen keuangan derivatif
FinalTaxExpenses,Beban pajak final
OtherIncome,Pendapatan lainnya
OtherExpenses,Beban lainnya
OtherGainsLosses,Keuntungan (kerugian) lainnya
ProfitLossBeforeIncomeTax,Jumlah laba (rugi) sebelum pajak penghasilan
TaxBenefitExpenses,Pendapatan (beban) pajak
ProfitLossFromContinuingOperations,Jumlah laba (rugi) dari operasi yang dilanjutkan
ProfitLossFromDiscontinuedOperations,Laba (rugi) dari operasi yang dihentikan
ProfitLoss,Jumlah laba (rugi)
OtherComprehensiveIncomeForGainsLossesOnRevaluationOfPropertyPlantAndEquipmentBeforeTax,"Pendapatan komprehensif lainnya atas keuntungan (kerugian) hasil revaluasi aset tetap, sebelum pajak"
OtherComprehensiveIncomeForRemeasurementOfDefinedBenefitObligationBeforeTax,"Pendapatan komprehensif lainnya atas pengukuran kembali kewajiban manfaat pasti, sebelum pajak"
OtherAdjustmentsToOtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossBeforeTax,"Penyesuaian lainnya atas pendapatan komprehensif lainnya yang tidak akan direklasifikasi ke laba rugi, sebelum pajak"
OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossBeforeTax,"Jumlah pendapatan komprehensif lainnya yang tidak akan direklasifikasi ke laba rugi, sebelum pajak"
GainsLossesOnExchangeDifferencesOnTranslationBeforeTax,"Keuntungan (kerugian) selisih kurs penjabaran, sebelum pajak"
ReclassificationAdjustmentsOnExchangeDifferencesOnTranslationBeforeTax,"Penyesuaian reklasifikasi selisih kurs penjabaran, sebelum pajak"
UnrealisedGainsLossesOnChangesInFairValueThroughOtherComprehensiveIncomeFinancialAssetsBeforeTax,"Keuntungan (kerugian) yang belum direalisasi atas perubahan nilai wajar aset keuangan melalui penghasilan komprehensif lain, sebelum pajak"
