xbrl_name,formatted_name
CashAndCashEquivalents,Kas dan setara kas
NotesReceivable,Wesel tagih
ShortTermInvestments,Investasi jangka pendek
CurrentRestrictedFunds,Dana yang dibatasi penggunaannya lancar
CurrentFinancialAssetsAtFairValueThroughProfitOrLoss,Aset keuangan lancar yang diukur pada nilai wajar melalui laba rugi
CurrentFinancialAssetsFairValueThroughOtherComprehensiveIncome,Aset keuangan lancar nilai wajar melalui pendapatan komprehensif lainnya
CurrentFinancialAssetsAmortizedCostInvestments,Aset keuangan biaya perolehan diamortisasi lancar
OtherCurrentFinancialAssets,Aset keuangan lancar lainnya
CurrentDerivativeFinancialAssets,Aset keuangan derivatif lancar
TradeReceivablesThirdParties,Piutang usaha pihak ketiga
TradeReceivablesRelatedParties,Piutang usaha pihak berelasi
CurrentFinanceLeaseReceivables,Piutang sewa pembiayaan lancar
RetentionReceivablesThirdParties,Piutang retensi pihak ketiga
RetentionReceivablesRelatedParties,Piutang retensi pihak berelasi
UnbilledReceivablesThirdParties,Tagihan bruto pemberi kerja pihak ketiga
UnbilledReceivablesRelatedParties,Tagihan bruto pemberi kerja pihak berelasi
ReceivablesOnSubsidy,Piutang subsidi
CurrentCustomerReceivablesThirdParties,Piutang nasabah lancar pihak ketiga
CurrentCustomerReceivablesRelatedParties,Piutang nasabah lancar pihak berelasi
MarginReceivables,Piutang margin
ReceivablesFromClearingAndSettlementGuaranteeInstitution,Piutang dari lembaga kliring dan penjaminan
PremiumAndReinsuranceReceivables,Piutang premi dan reasuransi
DividendsAndInterestReceivables,Piutang dividen dan bunga
OtherReceivablesThirdParties,Piutang lainnya pihak ketiga
OtherReceivablesRelatedParties,Piutang lainnya pihak berelasi
CurrentLivestockInventories,Persediaan hewan ternak lancar
CurrentRealEstateAssets,Aset real estat lancar
CurrentInventories,Persediaan lancar
CurrentBiologicalAssets,Aset biologis lancar
CurrentPrepaidExpenses,Biaya dibayar dimuka lancar
CurrentGuarantees,Jaminan lancar
CurrentAdvancesOnInvestments,Uang muka lancar atas investasi
CurrentAdvancesOnPurchaseOfPropertyPlantAndEquipment,Uang muka lancar atas pembelian aset tetap
OtherCurrentAdvances,Uang muka lancar lainnya
CurrentPrepaidTaxes,Pajak dibayar dimuka lancar
CurrentClaimsForTaxRefund,Klaim atas pengembalian pajak lancar
CurrentDeferredStrippingCosts,Biaya pengupasan tanah yang ditangguhkan lancar
CurrentDeferredMobilisationCosts,Biaya mobilisasi yang ditangguhkan lancar
CurrentTaxAmnestyAssets,Aset pengampunan pajak lancar
OtherCurrentNonFinancialAssets,Aset non-keuangan lancar lainnya
NonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,Aset tidak lancar atau kelompok lepasan diklasifikasikan sebagai dimiliki untuk dijual
NonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForDistributionToOwners,Aset tidak lancar atau kelompok lepasan diklasifikasikan sebagai dimiliki untuk didistribusikan kepada pemilik
CurrentAssets,Jumlah aset lancar
NonCurrentFinanceLeaseReceivables,Piutang sewa pembiayaan tidak lancar
NonCurrentRestrictedFunds,Dana yang dibatasi penggunaannya tidak lancar
AircraftMaintenanceReserveFunds,Dana cadangan perawatan pesawat
ReceivablesFromRelatedParties,Piutang dari pihak berelasi
ReceivablesFromStockholders,Piutang dari pemegang saham
NonCurrentCustomerReceivablesThirdParties,Piutang nasabah tidak lancar pihak ketiga
NonCurrentCustomerReceivablesRelatedParties,Piutang nasabah tidak lancar pihak berelasi
OtherNonCurrentReceivablesThirdParties,Piutang tidak lancar lainnya pihak ketiga
OtherNonCurrentReceivablesRelatedParties,Piutang tidak lancar lainnya pihak berelasi
InvestmentsAccountedForUsingEquityMethod,Investasi yang dicatat dengan menggunakan metode ekuitas
InvestmentsInJointVentures,Investasi pada entitas ventura bersama
InvestmentsInAssociates,Investasi pada entitas asosiasi
NonCurrentGuarantees,Jaminan tidak lancar
NonCurrentAdvancesOnInvestments,Uang muka tidak lancar atas investasi
NonCurrentAdvancesOnPurchaseOfPropertyPlantAndEquipment,Uang muka tidak lancar atas pembelian aset tetap
OtherNonCurrentAdvances,Uang muka tidak lancar lainnya
NonCurrentFinancialAssetsAtFairValueThroughProfitOrLoss,Aset keuangan tidak lancar yang diukur pada nilai wajar melalui laba rugi
NonCurrentFinancialAssetsFairValueThroughOtherComprehensiveIncome,Aset keuangan tidak lancar nilai wajar melalui pendapatan komprehensif lainnya
NonCurrentFinancialAssetsAmortizedCost,Aset keuangan tidak lancar biaya perolehan diamortisasi
OtherNonCurrentFinancialAssets,Aset keuangan tidak lancar lainnya
NonCurrentDerivativeFinancialAssets,Aset keuangan derivatif tidak lancar
NonCurrentPrepaidExpenses,Biaya dibayar dimuka tidak lancar
NonCurrentPrepaidTaxes,Pajak dibayar dimuka tidak lancar
DeferredTaxAssets,Aset pajak tangguhan
NonCurrentLivestockInventories,Persediaan hewan ternak tidak lancar
NonCurrentRealEstateAssets,Aset real estat tidak lancar
NonCurrentInventories,Persediaan tidak lancar lainnya
LivestockProduction,Hewan ternak produksi
IndustrialTimberPlantationsMature,Hutan tanaman industri menghasilkan
IndustrialTimberPlantationsImmature,Hutan tanaman industri belum menghasilkan
PlantationAssetsMature,Tanaman perkebunan menghasilkan
PlantationAssetsImmature,Tanaman perkebunan belum menghasilkan
Non-CurrentBiologicalAssets,Aset biologis tidak lancar
PlasmaPlantations,Perkebunan plasma
ReinsuranceAssets,Aset reasuransi
InvestmentProperties,Properti investasi
UndevelopedLand,Tanah Belum Dikembangkan
PropertyPlantAndEquipment,Aset tetap
RightOfUseAssets,Aset hak guna
IjarahAssets,Aset ijarah
ForeclosedAssets,Agunan yang diambil alih
OilAndGasAssets,Aset minyak dan gas bumi
ExplorationAndEvaluationAssets,Aset eksplorasi dan evaluasi
TollRoadConcessionRights,Hak konsesi jalan tol
MiningProperties,Properti pertambangan
NonCurrentDeferredStrippingCosts,Biaya pengupasan tanah yang ditangguhkan tidak lancar
NonCurrentDeferredMobilisationCosts,Biaya mobilisasi yang ditangguhkan tidak lancar
DeferredChargesOnLandrights,Beban tangguhan hak atas tanah dan bangunan
DeferredChargesOnExplorationAndDevelopmentExpenditures,Beban tangguhan atas biaya eksplorasi dan pengembangan
DeferredChargesOnCostOnForest,Beban tangguhan atas biaya pengelolaan hak pengusahaan hutan
DeferredChargesOnEnvironmentalAndReclamationExpenditures,Beban tangguhan atas biaya pengelolaan dan reklamasi lingkungan hidup
OtherDeferredCharges,Beban tangguhan lainnya
NonCurrentClaimsForTaxRefund,Klaim atas pengembalian pajak tidak lancar
PostEmploymentBenefitAssets,Aset imbalan pasca kerja
Goodwill,Goodwill
IntangibleAssetsOtherThanGoodwill,Aset takberwujud selain goodwill
NonCurrentTaxAmnestyAssets,Aset pengampunan pajak tidak lancar
OtherNonCurrentNonFinancialAssets,Aset tidak lancar non-keuangan lainnya
NonCurrentAssets,Jumlah aset tidak lancar
Assets,Jumlah aset
ShortTermBankLoans,Utang bank jangka pendek
TrustReceiptsPayables,Utang trust receipts
TradePayablesThirdParties,Utang usaha pihak ketiga
TradePayablesRelatedParties,Utang usaha pihak berelasi
OtherPayablesThirdParties,Utang lainnya pihak ketiga
OtherPayablesRelatedParties,Utang lainnya pihak berelasi
CurrentAdvancesFromCustomersThirdParties,Uang muka pelanggan jangka pendek pihak ketiga
CurrentAdvancesFromCustomersRelatedParties,Uang muka pelanggan jangka pendek pihak berelasi
DividendsPayable,Utang dividen
OtherCurrentFinancialLiabilities,Liabilitas keuangan jangka pendek lainnya
CurrentAccruedExpenses,Beban akrual jangka pendek
ShortTermPostEmploymentBenefitObligations,Liabilitas imbalan pasca kerja jangka pendek
TaxesPayable,Utang pajak
ExcisePayable,Utang cukai
ProjectPayables,Utang proyek
PayablesToClearingAndSettlementGuaranteeInstitution,Utang kepada lembaga kliring dan penjaminan
PayablesToCustomersThirdParties,Utang nasabah pihak ketiga
PayablesToCustomersRelatedParties,Utang nasabah pihak berelasi
CoinsuranceLiabilities,Utang koasuransi
ReinsurancePayables,Utang reasuransi
FactoringPayables,Liabilitas anjak piutang
CurrentDeposits,Uang jaminan jangka pendek
CurrentUnearnedRevenue,Pendapatan diterima dimuka jangka pendek
DueToCustomersThirdParties,Liabilitas bruto kepada pemberi kerja pihak ketiga
DueToCustomersRelatedParties,Liabilitas bruto kepada pemberi kerja pihak berelasi
CurrentDeferredRevenue,Pendapatan ditangguhkan jangka pendek
CurrentProvisionsForOverlay,Provisi jangka pendek pelapisan jalan tol
CurrentProvisionsForAircraftReturnAndMaintenanceFunds,Provisi jangka pendek biaya pengembalian dan pemeliharaan pesawat
CurrentProvisionsForInfrastructureDevelopmentPublicAndSocialFacilities,"Provisi jangka pendek pembangunan prasarana, fasilitas umum, dan sosial"
CurrentProvisionsForAssetDismantlingCosts,Provisi jangka pendek biaya pembongkaran aset tetap
CurrentProvisionsForRestorationAndRehabilitation,Provisi jangka pendek restorasi dan rehabilitasi
OtherCurrentProvisions,Provisi jangka pendek lainnya
ShareBasedPaymentLiabilities,Liabilitas pembayaran berbasis saham
CurrentContractLiabilities,Kontrak liabilitas jangka pendek
LiabilitiesDirectlyAssociatedWithNonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,Liabilitas yang secara langsung berhubungan dengan aset tidak lancar atau kelompok lepasan yang diklasifikasikan sebagai dimiliki untuk dijual atau dimiliki untuk didistribusikan kepada pemilik
CurrentMaturitiesOfBankLoans,Liabilitas jangka panjang yang jatuh tempo dalam satu tahun atas utang bank
