xbrl_name,formatted_name
ReceiptsFromCustomers,Penerimaan dari pelanggan
ReceiptsFromInvestments,Penerimaan dari penjualan/penurunan modal atas investasi pada saham dan efek ekuitas lainnya
ReceiptsOfSubsidy,Penerimaan subsidi
ReceiptsFromRoyaltiesFeesCommissionsAndOtherRevenues,"Penerimaan dari royalti, fees, komisi, dan pendapatan lain"
ReceiptsFromContractsHeldForDealingOrTradingPurposes,Penerimaan dari kontrak yang dimiliki untuk tujuan diperdagangkan atau diperjualbelikan
ReceiptFromSecuritiesCompany,Penerimaan dari perusahaan efek
OtherCashReceiptsFromOperatingActivities,Penerimaan kas lainnya dari aktivitas operasi
PaymentsToSuppliersForGoodsAndServices,Pembayaran kepada pemasok atas barang dan jasa
PaymentsForSalariesAndAllowances,Pembayaran gaji dan tunjangan
PaymentsForGeneralAndAdministrativeExpense,Pembayaran beban umum dan administrasi
PaymentsForRoyaltiesAndExploitationFees,Pembayaran royalti dan iuran eksploitasi
PaymentsToContractors,Pembayaran kepada kontraktor
PaymentsForManagementFees,Pembayaran jasa manajemen
OtherCashPaymentsForOperatingActivities,Pembayaran kas lainnya untuk beban operasi
PaymentsFromContractsHeldForDealingOrTradingPurposes,Pembayaran dari kontrak yang dimiliki untuk tujuan diperdagangkan atau diperjualbelikan
CashGeneratedFromUsedInOperations,Kas diperoleh dari (digunakan untuk) operasi
InterestInvestmentIncomeFeesAndCommissionsReceived,"Penerimaan bunga, hasil investasi, provisi, dan komisi"
PaymentsOfInterestAndBonusFeesAndCommissions,"Pembayaran bunga dan bonus, provisi dan komisi"
ProceedsFromEquityInvestmentsClassifiedAsAmortizedCostAndFairValueThroughOtherComprehensiveIncome,Penerimaan dari penyertaan saham dalam klasifikasi biaya perolehan diamortisasi dan nilai wajar melalui pendapatan komprehensif lainnya
ProceedsFromSalesOfInvestmentInSecurities,Penerimaan dari penjualan atas investasi pada efek
PurchasesOfInvestmentInSecurities,Penempatan investasi pada efek
DividendsReceivedFromOperatingActivities,Penerimaan dividen dari aktivitas operasi
DividendsPaidFromOperatingActivities,Pembayaran dividen dari aktivitas operasi
InterestsReceivedFromOperatingActivities,Penerimaan bunga dari aktivitas operasi
InterestsPaidFromOperatingActivities,Pembayaran bunga dari aktivitas operasi
IncomeTaxesRefundedPaidFromOperatingActivities,Penerimaan pengembalian (pembayaran) pajak penghasilan dari aktivitas operasi
PaymentsForExcisePayable,Pembayaran utang cukai
RepaymentPlacementOfRefundableDeposits,Pengembalian (penempatan) uang jaminan
PaymentsForCorporateIncomeTax,Pembayaran pajak penghasilan badan
OtherCashInflowsOutflowsFromOperatingActivities,Penerimaan (pengeluaran) kas lainnya dari aktivitas operasi
NetCashFlowsReceivedFromUsedInOperatingActivitiesBeforeChangesInAssetsAndLiabilities,Arus kas sebelum perubahan dalam aset dan liabilitas yang diperoleh dari (digunakan untuk) aktivitas operasi
DecreaseIncreaseFromSecurities,Penurunan (kenaikan) efek-efek
DecreaseIncreaseFromCredit,Penurunan (kenaikan) kredit
DecreaseIncreaseFromOtherAssets,Penurunan (kenaikan) aset lainnya
IncreaseDecreaseFromDepositsAndDepositsFromOtherBanks,Kenaikan (penurunan) simpanan dan simpanan dari bank lain
IncreaseDecreaseFromOtherLiabilities,Kenaikan (penurunan) liabilitas lainnya
NetCashFlowsReceivedFromUsedInOperatingActivities,Jumlah arus kas bersih yang diperoleh dari (digunakan untuk) aktivitas operasi
PaymentsForDeferredStrippingCosts,Pembayaran biaya pengupasan tanah ditangguhkan
PaymentsForDeferredMobilisationCosts,Pembayaran biaya mobilisasi ditangguhkan
PaymentsForDeferredCharges,Pembayaran biaya ditangguhkan
ReceiptsFromPaymentsForAircraftMaintenanceFunds,Penerimaan dari (pengeluaran untuk) dana pemeliharaan pesawat
PaymentsForAdvancesForPurchaseOfPropertyPlantAndEquipment,Pembayaran uang muka pembelian aset tetap
ProceedsFromDisposalOfLivestockProduction,Penerimaan dari penjualan persediaan hewan ternak produksi
PaymentsForAcquisitionOfLivestockProduction,Pembayaran untuk perolehan persediaan hewan ternak produksi
ProceedsFromDisposalOfIndustrialTimberPlantations,Penerimaan dari penjualan hutan tanaman industri
PaymentsForAcquisitionOfIndustrialTimberPlantations,Pembayaran untuk perolehan hutan tanaman industri
ProceedsFromDisposalOfPlantationAssets,Penerimaan dari penjualan tanaman perkebunan
PaymentsForAcquisitionOfPlantationAssets,Pembayaran untuk perolehan tanaman perkebunan
ProceedsFromDisposalOfPlasmaPlantations,Penerimaan dari penjualan perkebunan plasma
PaymentsForAcquisitionOfPlasmaPlantations,Pembayaran untuk perolehan perkebunan plasma
ProceedsFromDisposalOfInvestmentProperties,Penerimaan dari penjualan properti investasi
PaymentsForAcquisitionOfInvestmentProperties,Pembayaran untuk perolehan properti investasi
ProceedsFromDisposalOfPropertyPlantAndEquipment,Penerimaan dari penjualan aset tetap
PaymentsForAcquisitionOfPropertyPlantAndEquipment,Pembayaran untuk perolehan aset tetap
ProceedsFromDisposalOfForeclosedAssets,Penerimaan dari penjualan aset agunan yang diambil alih
ProceedsFromDisposalOfOilAndGasAssets,Penerimaan dari penjualan aset minyak dan gas bumi
PaymentsForAcquisitionOfOilAndGasAssets,Pembayaran untuk perolehan aset minyak dan gas bumi
ProceedsFromDisposalOfExplorationAndEvaluationAssets,Penerimaan dari penjualan aset eksplorasi dan evaluasi
PaymentsForAcquisitionOfExplorationAndEvaluationAssets,Pembayaran untuk perolehan aset eksplorasi dan evaluasi
ProceedsFromDisposalOfTollRoadConcessionRights,Penerimaan dari penjualan hak penguasaan jalan tol
PaymentsForAcquisitionOfTollRoadConcessionRights,Pembayaran untuk perolehan hak penguasaan jalan tol
ProceedsFromDisposalOfMiningProperties,Penerimaan dari penjualan properti pertambangan
PaymentsForAcquisitionOfMiningProperties,Pembayaran untuk perolehan properti pertambangan
ProceedsFromDisposalOfIntangibleAssets,Penerimaan dari penjualan aset takberwujud
PaymentsForAcquisitionOfIntangibleAssets,Pembayaran untuk perolehan aset takberwujud
ProceedsFromDisposalOfLandForDevelopment,Penerimaan dari penjualan tanah dalam pengembangan
PaymentsForAcquisitionOfLandForDevelopment,Pembayaran untuk perolehan tanah dalam pengembangan
ProceedsFromDisposalOfOtherNonFinancialAssets,Penerimaan dari penjualan aset non-keuangan lainnya
PaymentsForAcquisitionOfOtherNonFinancialAssets,Pembayaran untuk perolehan aset non-keuangan lainnya
WithdrawalPlacementOfShortTermInvestments,Pencairan (penempatan) investasi jangka pendek
WithdrawalPlacementOfFinancialAssetsAtFairValueThroughProfitOrLoss,Pencairan (penempatan) aset keuangan yang diukur pada nilai wajar melalui laba rugi
WithdrawalPlacementOfFinancialAssetsFairValueThroughOtherComprehensiveIncome,Pencairan (penempatan) aset keuangan nilai wajar melalui pendapatan komprehensif lainnya
WithdrawalPlacementOfRestrictedFundsFromInvestingActivities,Pencairan (penempatan) dana yang dibatasi penggunaannya dari aktivitas investasi
WithdrawalPlacementOfBondsAndOrSukuk,Pencairan (penempatan) obligasi dan (atau) sukuk
PlacementOfFinancialAssetsAmortizedCostInvestments,Penempatan aset keuangan biaya perolehan diamortisasi
WithdrawalOfFinancialAssetsAmortizedCostInvestments,Pencairan aset keuangan biaya perolehan diamortisasi
ProceedsOnSaleOfFinancialAssets,Penerimaan dari penjualan aset keuangan
PaymentsToAcquireFinancialAssets,Pembayaran untuk perolehan aset keuangan
ReceiptsFromFutureContractsForwardContractsOptionContractsAndSwapContracts,"Penerimaan dari future contracts, forward contracts, option contracts, dan swap contracts"
